"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_NW0001","ACCT_NW0002","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
82,3/31/2019 0:00:00,46,0.00,17858329.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-91957.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,247021803.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,3/31/2019 0:00:00,49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5995295.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,3/31/2019 0:00:00,54,6752567.00,390727.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11322389.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107,3/31/2019 0:00:00,57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52227611.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,3/31/2019 0:00:00,58,1500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30593569.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,3/31/2019 0:00:00,59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19408998.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,3/31/2019 0:00:00,60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6103028.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,3/31/2019 0:00:00,61,15457757.00,1540855.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150141.00,27146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140806195.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,3/31/2019 0:00:00,62,2489000.00,132578.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35895.00,-2289883.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-422.00,0.00,101852158.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,3/31/2019 0:00:00,63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92604176.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
