"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_NW0001","ACCT_NW0002","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
132,12/31/2019 0:00:00,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064121,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
135,12/31/2019 0:00:00,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71498237,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
138,12/31/2019 0:00:00,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68974,0,0,0,0,0,0,0,0,0,32056762,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
146,12/31/2019 0:00:00,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,4782478,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
147,12/31/2019 0:00:00,75,0,0,1,0,5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212496,0,0,0,0,0,0,Fiscal Year 2020,0,0,0,0,0,0,0,0,0,0,0,0
150,12/31/2019 0:00:00,77,21432108,20775569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89895,0,0,0,0,0,0,0,0,0,321554519,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
151,12/31/2019 0:00:00,78,0,113168764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263983,-227328,0,0,0,0,0,0,0,0,0,698840083,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
153,12/31/2019 0:00:00,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366469,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
159,12/31/2019 0:00:00,83,0,3052649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70718803,30648809,37815039,59935436,18351061,217469148,0,0,0,0,0,0,0,2968147,0,0,0,0,0,0,4400464,243385,0,1031011690,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
162,12/31/2019 0:00:00,85,8200148,7864637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241187,0,0,0,0,0,0,0,0,0,0,152785186,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
167,12/31/2019 0:00:00,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140390,29424,0,0,0,0,0,0,0,0,0,332066812,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
168,12/31/2019 0:00:00,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20947,0,0,0,0,0,0,0,0,0,0,31283801,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
169,12/31/2019 0:00:00,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344792,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
174,12/31/2019 0:00:00,91,6479825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2980348,158315,0,0,0,0,0,0,0,0,0,262317292,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
176,12/31/2019 0:00:00,92,0,202254461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618079,5490630,0,0,0,0,0,0,0,0,0,951410553,0,0,0,62,207628,195067,,0,0,0,0,0,0,0,0,0,0,0,0
177,12/31/2019 0:00:00,93,0,36597128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583018,386357,0,0,0,0,0,0,0,0,0,414604975,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
181,12/31/2019 0:00:00,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879029,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
187,12/31/2019 0:00:00,100,494000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19560687,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
195,12/31/2019 0:00:00,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10402833,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
196,12/31/2019 0:00:00,105,0,455616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14231052,-41182,0,0,0,0,0,0,0,0,0,2020232751,6,387238,196140,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
198,12/31/2019 0:00:00,107,2000000,0,0,0,0,3186956,0,0,0,0,3186956,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,2000000,0,0,-57203,0,0,0,0,0,0,0,0,33330338,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
199,12/31/2019 0:00:00,108,1977251,24062947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91976,0,0,0,0,0,0,0,0,0,166100656,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200,12/31/2019 0:00:00,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6798299,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
205,12/31/2019 0:00:00,112,6768919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13227,0,0,0,0,0,0,0,0,0,122931369,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
216,12/31/2019 0:00:00,116,0,1815254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144373,0,0,0,0,0,0,0,0,0,0,72794198,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
220,12/31/2019 0:00:00,117,47,5938094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26314210,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
224,12/31/2019 0:00:00,119,3467000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33063,0,0,0,0,0,0,0,0,0,108446849,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
227,12/31/2019 0:00:00,121,0,367041596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159994936,-1304313,0,0,0,0,0,0,0,4203928,0,22111959247,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
233,12/31/2019 0:00:00,124,0,13841123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523293,-211784,0,0,0,0,0,0,0,0,0,160367546,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
234,12/31/2019 0:00:00,125,11196000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68230280,0,0,0,122,604398,586266,,0,0,0,0,0,0,0,0,0,0,0,0
240,12/31/2019 0:00:00,128,1392370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58635490,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
242,12/31/2019 0:00:00,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565919,1864,0,0,0,0,0,0,0,0,0,83130237,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
