"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017"
63802,3/31/2022 0:00:00,18030,0,0,88724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7746562,0,0,0,0,0,0,0,0,,0,8839007,0,0,0,0,0,0,0,0,0,0,0,6778,0,0,0,0,0,0,0,0,0
63805,3/31/2022 0:00:00,18033,0,80258440,6525827,-3572593,0,0,0,0,0,581165,0,2163070,2744235,0,0,0,0,0,0,21560890,46027057,4280291,1691604,5812989,79372831,3280864,30207719,79002477,8817630,0,121308690,0,-1375629,0,0,0,0,0,0,0,0,0,0,0,774480037,6,1144766,1144766,0,0,0,6,1144766,,0,849518968,0,0,0,0,0,0,0,0,0,0,0,1874800,0,-186031,0,0,0,0,0,0,0
63828,3/31/2022 0:00:00,18056,0,101607985,5162962,21263657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452910,1429732,7032050,3445820,0,12360512,0,0,0,0,0,0,0,-1040470,0,0,0,0,0,0,0,0,0,0,0,399431204,8,261604,261604,0,0,0,8,261604,,0,430162789,0,0,0,0,0,0,0,0,0,0,0,1146921,0,0,0,0,0,0,0,0,0
63829,3/31/2022 0:00:00,18057,0,191989002,5988181,4208735,0,0,0,81385,0,0,535189,1214940,1831514,0,0,0,0,0,0,1385259,702925,14917249,4605339,769059,22379832,512013,0,0,0,0,512013,0,-1198675,0,0,0,0,0,0,0,0,0,0,0,1344468552,80,3795161,3795161,0,0,0,69,3506968,,0,1453539469,0,0,0,0,0,0,0,0,0,0,0,1039814,117839,-107559,0,0,0,0,0,0,0
63830,3/31/2022 0:00:00,18058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4607407,0,0,0,0,0,0,0,0,,0,5453114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63832,3/31/2022 0:00:00,18060,0,244952419,4175648,41562898,0,0,0,210397,0,0,0,0,210397,0,0,0,0,0,0,16097340,33443353,41137862,58237645,86543911,235460111,0,0,0,0,0,0,0,-22056909,0,0,0,0,0,0,0,0,0,0,0,1429590422,0,0,0,0,0,0,0,0,,0,1557370532,0,0,0,0,0,0,0,0,0,0,0,2864718,0,0,0,16,23694624,0,0,0,0
63834,3/31/2022 0:00:00,18062,0,0,1124960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695035,2309510,6570265,10423339,0,19998149,0,0,0,0,0,0,0,-1254203,0,0,0,0,0,0,0,0,0,0,0,75811911,0,0,0,0,0,0,0,0,,0,82910934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,777019,0,0
63837,3/31/2022 0:00:00,18065,0,23893141,610747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69844030,0,0,0,0,69844030,0,0,0,0,0,0,0,83165,0,0,0,0,0,0,0,0,0,0,0,514010818,0,0,0,0,0,0,0,0,,0,576379880,0,0,0,0,0,0,0,0,0,0,0,142249,0,0,0,0,0,0,0,0,0
63844,3/31/2022 0:00:00,18072,0,0,516414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054374,950570,6379681,0,0,9384625,0,0,0,0,0,0,0,-392375,0,0,0,0,0,0,0,0,0,0,0,47763487,0,0,0,0,0,0,0,0,,0,53040239,0,0,0,0,0,0,0,0,0,0,0,22856,0,0,0,0,0,0,0,0,0
63851,3/31/2022 0:00:00,18079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9168087,0,0,0,0,0,0,0,0,,0,10403460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
