"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
24899,3/31/2022 0:00:00,14827,0,0,0,0,0,0,13686210,0,0,0,0,0,0,0,52747782,0,0,0,0,0,0,0,0,0,3993317,0,0,0,0,0,0,0,0,80602996,0,0,0,0,14169004,189,10,0,0,0,0,14,0,43,9,189,10,199,0,0,132,0,0,199,2548,622,0,0,0,0,0,0,206
24901,3/31/2022 0:00:00,17243,0,0,0,0,0,0,550897,0,0,0,0,0,0,0,2290650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21557,0,0,0,3294363,0,0,0,0,431259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,225
24902,3/31/2022 0:00:00,21289,0,0,0,0,0,0,4673291,0,0,0,0,0,0,0,5862878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879102,0,0,0,12415271,0,0,0,0,0,10,5,0,0,0,0,0,0,7,5,7,5,12,3,0,0,0,3,15,245,94,0,0,0,0,0,0,382
24903,3/31/2022 0:00:00,20502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24904,3/31/2022 0:00:00,16682,0,0,0,0,0,0,5055853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6629516,0,0,0,0,1573663,48,28,0,0,0,0,14,13,3,15,17,28,45,31,0,0,0,31,76,322,99,0,0,0,0,0,0,326
24905,3/31/2022 0:00:00,19698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365062,0,0,0,0,365062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
24906,3/31/2022 0:00:00,26458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24908,3/31/2022 0:00:00,15705,0,0,0,0,0,0,1250756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,34,0,0,0,0,0,0,110
24909,3/31/2022 0:00:00,15303,0,0,0,0,0,0,5509918,0,0,0,0,0,0,0,5148126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80388,0,0,0,11670514,0,0,0,0,932082,4,18,0,0,0,0,2,10,0,8,2,18,20,2,0,0,0,2,22,496,335,0,0,0,0,0,0,165
24910,3/31/2022 0:00:00,26459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24911,3/31/2022 0:00:00,19732,0,0,0,0,0,0,1587844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,0,0,0,0,0,0,8
24912,3/31/2022 0:00:00,24254,0,0,0,0,0,0,3058045,0,0,0,0,0,0,0,2309558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24378,0,0,0,6404819,0,0,0,0,1012838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,105,1,0,0,0,0,0,42
24914,3/31/2022 0:00:00,17524,0,0,0,0,0,0,24802968,0,0,0,0,0,0,0,78672969,0,0,0,0,0,0,0,0,0,31819338,0,0,0,0,0,0,0,17450186,125314406,0,0,0,0,4388283,304,3,34,18,0,0,37,0,48,1,110,3,113,142,0,8,0,194,307,2940,1297,0,0,0,0,0,0,1364
24915,3/31/2022 0:00:00,26460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,10,17,0,0,0,7,10,0,0,17,0
24916,3/31/2022 0:00:00,18774,0,0,0,0,0,0,20943575,0,0,0,0,0,0,0,19831774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16991793,61790644,0,0,0,0,4023502,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7,337,323,0,0,0,0,0,0,779
24917,3/31/2022 0:00:00,2320,0,0,0,0,0,0,12651630,0,0,0,0,0,0,0,73685738,0,0,0,0,0,0,0,0,0,2161862,0,0,0,0,9641894,0,0,0,96654714,0,0,0,0,675452,127,8,0,0,0,0,10,0,24,8,104,8,104,23,0,63,0,23,135,1616,706,11,2,0,0,0,2,159
24918,3/31/2022 0:00:00,21296,0,0,0,0,0,0,8538941,0,0,0,0,0,0,0,2388466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10975407,0,0,0,0,48000,26,0,0,0,0,0,9,0,0,0,9,0,9,17,0,0,0,17,26,11,190,0,0,0,0,0,0,458
24919,3/31/2022 0:00:00,26461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24920,3/31/2022 0:00:00,2863,0,0,0,0,0,0,2133233,0,0,0,0,0,0,0,4779505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8169081,0,0,0,0,1256343,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,38,219,0,0,0,0,0,0,167
24921,3/31/2022 0:00:00,5682,0,0,0,0,0,0,142830011,0,0,0,0,0,0,0,237986987,0,0,0,0,0,0,0,0,0,52352689,0,0,0,0,0,0,0,52550311,506612243,0,0,0,0,73244934,407,22,0,97,0,0,108,0,61,2,297,22,329,13,0,103,20,158,429,5492,3287,0,0,0,0,0,0,231
24923,3/31/2022 0:00:00,20701,0,0,0,0,0,0,132972243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4409673,0,0,0,0,4832807,0,0,4249979,178914319,0,0,0,0,36859290,156,13,0,0,0,0,41,0,39,9,117,9,126,39,4,26,0,43,169,2965,3432,6,0,0,0,0,0,15688
24924,3/31/2022 0:00:00,24268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152530,0,0,0,152530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,23,0,0,0,0,0,0,21
24925,3/31/2022 0:00:00,26463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24926,3/31/2022 0:00:00,24208,0,0,0,0,0,0,428840,0,0,0,0,0,0,0,1436334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,47,0,0,0,0,0,0,30
24927,3/31/2022 0:00:00,19821,0,0,0,0,0,0,56639439,0,0,0,0,0,0,0,32101922,0,0,0,0,0,0,0,0,0,12195,0,0,0,0,2524116,0,0,230000,105268857,0,0,0,0,13773380,58,6,1,14,0,0,20,0,4,2,38,2,40,5,4,14,0,24,64,1159,1058,0,0,0,0,0,0,110
24928,3/31/2022 0:00:00,26464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24929,3/31/2022 0:00:00,4529,0,0,0,0,0,0,12427858,0,0,0,0,0,0,0,5555523,0,0,0,0,0,0,0,0,0,755393,0,0,0,0,0,0,0,394452,21991191,0,0,0,0,3613358,62,4,0,1,0,0,8,0,30,0,53,4,57,8,0,10,4,9,66,767,814,2,4,0,0,0,4,287
24930,3/31/2022 0:00:00,26465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24931,3/31/2022 0:00:00,4927,0,0,0,0,0,0,59170566,0,0,0,0,0,0,0,42818927,0,0,0,0,0,0,0,0,0,18219547,0,0,0,0,2717394,0,0,716140,143874157,0,0,0,0,38451130,308,8,0,6,0,0,20,2,67,4,286,8,294,16,0,189,2,22,316,2942,2396,0,0,0,0,0,0,1967
24932,3/31/2022 0:00:00,23853,0,0,0,0,0,0,49107,0,0,0,0,0,0,0,3147848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35409,0,0,0,3569846,0,0,0,0,337482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,32,0,0,0,0,0,0,102
24933,3/31/2022 0:00:00,21700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2527149,0,0,0,0,1046437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,0,0,0,0,0,312
24934,3/31/2022 0:00:00,16827,0,0,0,0,0,0,5723081,0,0,0,0,0,0,0,68843389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74566470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055,366,0,0,0,0,0,0,727
24935,3/31/2022 0:00:00,26466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24936,3/31/2022 0:00:00,17491,0,0,0,0,0,0,7676416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3229779,0,0,9811,17849115,0,0,0,0,6933109,5,0,0,0,0,0,3,0,2,0,5,0,3,0,0,0,0,0,5,923,411,0,0,0,0,0,0,542
60002,3/31/2022 0:00:00,14490,0,0,0,0,0,0,1436700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7964939,0,0,23697003,33098642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,16,119,0,0,0,0,0,228
60013,3/31/2022 0:00:00,14499,0,0,0,0,0,0,1029681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138639,0,0,0,0,43,0,0,0,1098903,0,0,0,0,69179,0,32,0,0,0,0,0,1,0,21,0,32,32,0,0,0,5,0,32,68,278,6,0,0,0,0,0,35
60024,3/31/2022 0:00:00,14508,0,0,0,0,0,0,869138,0,0,0,0,0,0,0,2079385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222411,0,0,0,10456194,0,0,0,0,6285260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,145,0,0,0,0,0,0,101
60037,3/31/2022 0:00:00,14519,0,0,0,0,0,0,481535,0,0,0,0,0,0,0,1396726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,2539039,0,0,0,0,660664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,78,0,0,0,0,0,0,255
60039,3/31/2022 0:00:00,14521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
60041,3/31/2022 0:00:00,14523,0,0,0,0,0,0,1289724,0,0,0,0,0,0,0,4418946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178470,0,0,238690,7192162,0,0,0,0,66332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,64,0,0,0,0,0,0,146
60042,3/31/2022 0:00:00,14524,0,0,0,0,0,0,192730567,0,0,0,0,0,0,0,672086825,0,0,0,0,0,0,0,0,0,4139031,0,0,0,0,61610967,0,0,23178612,1043846046,0,0,0,0,94239075,260,6,1,16,0,0,22,0,123,1,243,6,249,0,0,98,5,17,266,5920,4593,2,0,0,0,0,0,9205
60048,3/31/2022 0:00:00,14529,0,0,0,0,0,0,982596,0,0,0,0,0,0,0,1835845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,44,0,0,0,0,0,0,16
60051,3/31/2022 0:00:00,14532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9883600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359783,0,0,29653,13765236,0,0,0,0,3492200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,43,0,0,0,0,0,0,265
60056,3/31/2022 0:00:00,14535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4680886,0,0,0,0,0,0,0,0,0,8886969,0,0,0,0,1013456,0,0,50985,10198574,0,0,0,0,4453247,150,0,2,0,0,0,33,0,23,0,142,0,142,6,0,74,0,8,150,1628,16,4,0,0,0,0,0,310
60057,3/31/2022 0:00:00,14536,0,0,0,0,0,0,11401931,0,0,0,0,0,0,0,44165472,0,0,0,0,0,0,0,0,0,7717043,0,0,0,0,7501785,0,0,3551807,66775940,0,0,0,0,154945,322,30,14,127,0,0,93,7,27,12,124,30,154,57,0,2,7,198,352,3066,411,0,0,0,0,0,0,1786
60058,3/31/2022 0:00:00,14537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351863739,0,0,0,0,0,0,0,0,0,11296652,0,0,0,0,6848664,0,0,2486721,430616237,0,0,0,0,69417113,150,0,4,5,0,0,64,0,38,0,139,0,139,2,0,33,0,11,150,6803,868,53,0,0,0,0,0,4395
