"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047"
951,6/30/2021 0:00:00,477,0,0,185554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3584,0,0,0,0,0,0,0,0,0,0,0,0,25016242,0,0,0,0,0,0,0,0,,0,27062533,0,0,0,0,0,0,0,0,0,0,0,20310,0,0,0
960,6/30/2021 0:00:00,482,2532675,63061370,5460228,10336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31896,0,2481376,1489337,0,4002609,2532675,0,0,0,0,2532675,75762,-28394,0,0,0,0,0,0,0,0,0,0,0,228476706,259,6502039,6502039,0,0,0,259,6502039,,0,246054612,0,0,0,0,0,0,0,0,0,0,0,1638724,0,0,0
964,6/30/2021 0:00:00,485,0,0,578205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4533454,2823807,6613123,5955739,3910052,23836175,0,0,0,0,0,0,63072,-283670,0,0,0,0,0,0,0,0,0,0,0,73072185,0,0,0,0,0,0,0,0,,0,78308506,0,0,0,0,0,0,0,0,0,0,0,203772,0,0,94062
967,6/30/2021 0:00:00,486,0,54805625,1177481,249167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252375,11036380,9138389,34119776,1524980,57071900,0,0,0,0,0,0,0,-316615,0,0,0,0,0,0,0,0,0,0,0,236729963,0,0,0,0,0,0,0,0,,0,258105867,0,0,0,0,0,0,0,0,0,0,0,1054876,0,0,0
971,6/30/2021 0:00:00,489,0,0,535061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47997,2253847,326340,0,0,2628184,0,0,0,0,0,0,0,55089,0,0,0,0,0,0,0,0,0,0,0,45488227,0,0,0,0,0,0,0,0,,0,53120489,0,0,0,0,0,0,0,0,0,0,0,80399,0,0,0
986,6/30/2021 0:00:00,494,4158000,0,47272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949000,2660000,549000,0,0,4158000,0,0,0,0,0,0,0,0,0,0,0,0,0,9028211,0,0,0,0,0,0,0,0,,0,10542661,0,0,0,0,0,0,0,0,0,0,0,2869,0,0,0
988,6/30/2021 0:00:00,495,52012000,35513439,1738672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21920000,15183000,13913000,996000,0,52012000,14209,0,0,0,0,0,0,0,0,0,0,0,0,109025765,0,0,0,0,0,0,0,0,,0,119899321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,6/30/2021 0:00:00,500,0,735264,841971,1044644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571091,3268967,2942488,1038318,2024028,11844892,0,0,0,0,0,0,220366,146592,0,0,0,0,0,0,0,0,0,0,0,150697166,16,497495,0,0,0,0,16,497495,,0,169262264,0,0,0,0,0,0,0,0,0,0,0,75732,0,0,0
1015,6/30/2021 0:00:00,509,0,35859539,1526266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16996013,8608093,15699132,0,0,41303238,0,0,0,0,0,0,3187452,-11262,0,0,0,0,0,0,0,0,0,0,0,241867800,3,337037,0,0,0,0,3,337037,,0,261394258,0,0,0,0,0,0,0,0,0,0,0,418127,0,0,15166
1021,6/30/2021 0:00:00,512,38577179,2151671,948846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4320839,4205905,4547065,2956035,0,16029844,12322683,22757898,3496598,0,0,38577179,7944283,-177872,0,0,0,0,0,0,0,0,0,0,0,197699027,50,1881115,1881115,0,0,0,50,1881115,,0,203778427,0,0,0,0,0,0,0,0,0,0,0,50465,0,0,0
1022,6/30/2021 0:00:00,513,0,309139350,37060668,370380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4805675,0,0,0,0,0,0,0,0,0,0,0,0,2106294778,324,9333133,0,0,0,0,324,9333133,,0,2346989878,1659462,965284,0,0,0,0,0,0,0,0,0,15736061,0,0,0
1034,6/30/2021 0:00:00,521,0,0,1554216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56247453,0,0,0,0,0,0,0,0,,0,68039403,0,0,0,0,0,0,0,0,0,0,0,166681,0,0,0
1040,6/30/2021 0:00:00,524,0,0,6910466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12023464,23305642,6959337,41659091,8522261,92469795,0,0,0,0,0,0,413825,-63190,0,0,0,0,0,0,0,0,0,0,0,1002589648,465,21717048,21717048,0,0,0,465,21717048,,0,1070591114,0,0,0,0,0,0,0,0,0,0,0,376088,0,0,0
1049,6/30/2021 0:00:00,527,7460000,0,722089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000,490000,3480000,3245000,0,7460000,0,0,0,0,0,0,0,0,0,0,0,0,0,84815446,0,0,0,0,0,0,0,0,,0,94033492,0,0,0,0,0,0,0,0,0,0,0,164756,0,0,0
1057,6/30/2021 0:00:00,529,1800000,0,5444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,705000,955000,0,0,1800000,0,0,0,0,0,0,0,0,0,0,0,0,0,9414113,0,0,0,0,0,0,0,0,,0,11538979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,6/30/2021 0:00:00,530,1089100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290000,0,799100,0,1089100,0,0,0,0,0,0,0,0,0,0,0,0,0,7677856,0,0,0,0,0,0,0,0,,0,8806601,0,0,0,0,0,0,0,0,0,0,0,3116,0,0,0
1068,6/30/2021 0:00:00,532,4645,340197,65336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,3643,0,0,4645,0,0,0,0,0,0,0,0,0,0,0,0,0,20822896,0,0,0,0,0,0,0,0,,0,23621161,0,0,0,0,0,0,0,0,0,0,0,140369,0,0,0
1074,6/30/2021 0:00:00,534,0,56028708,1569315,0,0,0,0,90010604,29959350,0,0,0,119969954,0,0,0,0,0,0,448230,0,0,0,0,448230,0,0,0,0,0,0,3191077,14650,0,0,0,0,0,0,0,0,0,0,0,1123881261,584,9455368,9455368,0,0,0,584,9455368,,0,1251406049,1554053,1554053,0,0,0,0,0,0,0,0,0,1449358,0,-30046,0
