"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
95015,12/31/2020 0:00:00,23038,0,15678741,2966537,407561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225323,15788773,3126785,305022,0,21445903,0,0,0,0,0,0,1733705,308414,0,0,0,0,0,0,0,0,0,0,0,295192523,0,0,0,0,0,0,0,0,,0,326702611,0,0,0,0,0,0,0,0,0,0,0
95042,12/31/2020 0:00:00,23065,0,0,979587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53010,0,0,0,0,0,0,0,0,0,0,0,0,37693232,0,0,0,0,0,0,0,0,,0,40360838,0,0,0,0,0,0,0,0,0,0,0
95052,12/31/2020 0:00:00,23075,0,0,819410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32555,0,0,3448,0,36003,0,0,0,0,0,0,642958,5415,0,0,0,0,0,0,0,107581,0,0,0,113577586,0,0,0,0,0,0,0,0,,0,126193411,0,0,0,0,0,0,0,0,0,0,0
95071,12/31/2020 0:00:00,23094,0,15278585,740389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226829498,0,0,0,0,0,0,0,0,,0,247820370,0,0,0,0,0,0,0,0,0,0,0
95072,12/31/2020 0:00:00,23095,102102,0,372633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102102,102102,0,0,0,0,0,0,0,0,0,0,0,0,0,31278948,0,0,0,0,0,0,0,0,,0,33852134,0,0,0,0,0,0,0,0,0,0,0
95073,12/31/2020 0:00:00,23096,0,0,274412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18191859,0,0,0,0,0,0,0,0,,0,20304573,0,0,0,0,0,0,0,0,0,0,0
95107,12/31/2020 0:00:00,23126,7539030,15008,2525611,295297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4217344,5782337,4545549,0,0,14545230,4042624,1497004,1000566,998836,0,7539030,296402,231879,0,0,0,0,0,0,0,0,0,0,0,131360676,0,0,0,0,0,0,0,0,,0,141011329,0,0,0,0,0,0,0,0,0,0,0
95742,12/31/2020 0:00:00,23704,12904094,41848,203561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12904094,0,0,0,0,12904094,3498,-799,0,0,0,0,0,0,0,0,0,0,0,24051234,0,0,0,0,0,0,0,0,,0,32544578,0,0,0,0,0,0,0,0,0,0,0
95786,12/31/2020 0:00:00,23747,0,0,108898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24297,0,0,0,0,0,0,0,0,0,0,0,0,9266941,0,0,0,0,0,0,0,0,,0,14498126,0,0,0,0,0,0,0,0,0,0,0
95802,12/31/2020 0:00:00,23763,18986930,15826099,1409544,-1079437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109701,0,0,0,0,109701,1247952,3492978,14246000,0,0,18986930,879164,8944,0,0,0,0,0,0,0,0,0,0,0,163407240,0,0,0,0,0,0,0,0,,0,180174162,0,0,0,0,0,0,0,0,0,0,0
