"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_NW0001","ACCT_NW0002","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
112,3/31/2020 0:00:00,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6020650,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
119,3/31/2020 0:00:00,62,0,188055,522891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12317979,27887894,33013142,23121614,0,96340629,0,0,0,0,0,0,70080,1195545,0,0,0,0,0,0,0,0,0,105907915,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
120,3/31/2020 0:00:00,63,0,0,820293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94973804,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
132,3/31/2020 0:00:00,69,0,0,2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029967,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
135,3/31/2020 0:00:00,70,0,0,777215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71753518,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
138,3/31/2020 0:00:00,72,0,0,1106130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511974,3152339,715112,0,0,6379425,0,0,0,0,0,0,0,86424,0,0,0,0,0,0,0,0,0,32837173,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
146,3/31/2020 0:00:00,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4915854,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
147,3/31/2020 0:00:00,75,0,0,0,0,1,0,5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207081,0,0,0,0,0,0,Fiscal Year 2020,0,0,0,0,0,0,0,0,0,0,0,0
150,3/31/2020 0:00:00,77,19861587,31469964,4591699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63873239,3888467,4210838,3468450,16569,75457563,14401214,2302339,2939705,0,218329,19861587,663646,-1382075,0,0,0,0,0,0,0,-43160,0,324888271,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
151,3/31/2020 0:00:00,78,0,94355603,4834983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10591189,16366487,20871913,10164719,10108680,68102988,0,0,0,0,0,0,2916493,642765,0,0,0,0,0,0,0,0,0,712041257,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
