"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
62877,9/30/2019 0:00:00,17129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,318349.00,0.00,318349.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,318349.00,318349.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00
62878,9/30/2019 0:00:00,17130,0.00,0.00,0.00,0.00,0.00,0.00,531548.00,531548.00,0.00,0.00,0.00,0.00,3824778.00,0.00,3824778.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4967352.00,4967352.00,0.00,611026.00,0.00,611026.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,48.00,161.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00
62881,9/30/2019 0:00:00,17133,0.00,0.00,0.00,0.00,0.00,0.00,3002117.00,3002117.00,0.00,0.00,0.00,0.00,25126765.00,0.00,25126765.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1957813.00,1957813.00,0.00,3287626.00,0.00,3287626.00,342671.00,0.00,342671.00,44834638.00,44834638.00,0.00,13075459.00,0.00,13075459.00,77.00,10.00,0.00,14.00,0.00,0.00,7.00,0.00,35.00,8.00,58.00,10.00,68.00,5.00,0.00,16.00,2.00,19.00,87.00,365.00,970.00,0.00,0.00,0.00,0.00,0.00,0.00,1911.00
62882,9/30/2019 0:00:00,17134,0.00,0.00,0.00,0.00,0.00,0.00,295785735.00,295785735.00,0.00,19820043.00,19820043.00,0.00,0.00,0.00,0.00,24600.00,24600.00,0.00,6210137.00,0.00,6210137.00,0.00,0.00,0.00,49080865.00,49080865.00,0.00,2886634.00,0.00,2886634.00,1114203.00,0.00,1114203.00,363738951.00,363738951.00,0.00,44132336.00,0.00,44132336.00,695.00,3.00,25.00,59.00,0.00,0.00,223.00,0.00,105.00,1.00,500.00,3.00,503.00,111.00,0.00,157.00,1.00,195.00,698.00,7942.00,5101.00,0.00,0.00,0.00,0.00,0.00,0.00,1585.00
62894,9/30/2019 0:00:00,17145,0.00,0.00,0.00,0.00,0.00,0.00,893986.00,893986.00,0.00,0.00,0.00,0.00,485683.00,0.00,485683.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1379669.00,1379669.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,145.00,0.00,0.00,0.00,0.00,0.00,0.00,316.00
62895,9/30/2019 0:00:00,17146,0.00,0.00,0.00,0.00,0.00,0.00,140577.00,140577.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140577.00,140577.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00
62896,9/30/2019 0:00:00,17147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
62897,9/30/2019 0:00:00,17148,0.00,0.00,0.00,0.00,0.00,0.00,5663133.00,5663133.00,0.00,595932.00,595932.00,0.00,0.00,0.00,0.00,23129.00,23129.00,0.00,575716.00,0.00,575716.00,0.00,0.00,0.00,1282116.00,1282116.00,0.00,1708989.00,0.00,1708989.00,536.00,0.00,536.00,9882874.00,9882874.00,0.00,1914284.00,0.00,1914284.00,173.00,0.00,2.00,1.00,0.00,0.00,88.00,0.00,1.00,0.00,106.00,0.00,106.00,61.00,0.00,6.00,0.00,68.00,173.00,592.00,609.00,0.00,0.00,3.00,0.00,0.00,3.00,182.00
62903,9/30/2019 0:00:00,17154,0.00,0.00,0.00,0.00,0.00,0.00,8441241.00,8441241.00,0.00,0.00,0.00,0.00,13471240.00,0.00,13471240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54382.00,54382.00,0.00,3633156.00,0.00,3633156.00,0.00,0.00,0.00,35221549.00,35221549.00,0.00,9675912.00,0.00,9675912.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,3.00,3.00,6.00,1.00,0.00,1.00,0.00,1.00,7.00,334.00,520.00,0.00,0.00,0.00,0.00,0.00,0.00,1476.00
62905,9/30/2019 0:00:00,17155,0.00,0.00,0.00,0.00,0.00,0.00,35831706.00,35831706.00,0.00,0.00,0.00,0.00,40870723.00,0.00,40870723.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65872.00,65872.00,0.00,1131739.00,0.00,1131739.00,5870666.00,0.00,5870666.00,84053725.00,84053725.00,0.00,348891.00,0.00,348891.00,51.00,7.00,1.00,0.00,0.00,0.00,9.00,0.00,20.00,3.00,43.00,6.00,49.00,7.00,1.00,13.00,3.00,9.00,58.00,770.00,1692.00,6.00,0.00,0.00,0.00,0.00,0.00,476.00
